Cage,Time,Isopod,Temperature,X,Y,Z,Location,Behavior,Notes
29,01:00,Y,W,6,10,5,DGR,S,
29,02:00,Y,W,6,10,5,DGR,S,
29,03:00,Y,W,6,10,5,DGR,S,
29,04:00,Y,W,6,10,5,DGR,S,
29,05:00,Y,W,6,10,5,DGR,S,
29,06:00,Y,W,6,10,5,DGR,S,
29,07:00,Y,W,6,10,5,DGR,S,
30,07:00,N,W,10,27,0.5,GR,S,
30,08:00,N,W,11,27,0.5,GR,S,
30,09:00,N,W,11,27,0.5,GR,S,
30,10:00,N,W,10,26,0.5,GR,S,
30,11:00,N,W,10,26,0.5,GR,S,
30,12:00,N,W,10,26,0.5,GR,S,
30,01:00,N,W,10,27,1,GR,S,
30,02:00,N,W,10,27,1,GR,S,
30,03:00,N,W,10,27,1,GR,S,
30,04:00,N,W,10,27,1,GR,S,
30,05:00,N,W,10,27,1,GR,S,
30,06:00,N,W,10,27,1,GR,S,
30,07:00,N,W,10,27,1,GR,S,
31,07:00,Y,C,2,29,9,W,S,
31,08:00,Y,C,0.5,30.5,11.5,w,S,
31,09:00,Y,C,2,31,9.5,W,S,
31,10:00,Y,C,2,29,10,W,S,
31,11:00,Y,C,2,30,11,M,S,
31,12:00,Y,C,9,28.5,11,M,S,
31,01:00,Y,C,9,29,11,M,S,
31,02:00,Y,C,9,29,11,M,S,
31,03:00,Y,C,9,29,11,M,S,
31,04:00,Y,C,13,26,11,M,S,
31,05:00,Y,C,13,26,11,M,S,
31,06:00,Y,C,13,26,11,M,S,
31,07:00,Y,C,13,26,11,M,S,
32,07:00,N,C,13,30.5,1,W,S,
32,08:00,N,C,13,30.5,1,W,S,
32,09:00,N,C,12,31,0.5,W,S,
32,10:00,N,C,12.5,31,0.5,W,S,
32,11:00,N,C,13,30.5,0.5,W,S,
32,12:00,N,C,12,19.5,8.5,GR,S,
32,01:00,N,C,12,19.5,8.5,GR,S,
32,02:00,N,C,12,19,9,GR,S,
32,03:00,N,C,12,19,9,GR,S,
32,04:00,N,C,12,19,9,GR,S,
32,05:00,N,C,13,31,10,M,S,
32,06:00,N,C,13,31,10,M,S,
32,07:00,N,C,13,31,10,M,S,
33,07:00,Y,W,14,30,10,W,S,
33,08:00,Y,W,14,30,10,W,S,
33,09:00,Y,W,14,30,10,W,S,
33,10:00,Y,W,14,30,10,W,S,
33,11:00,Y,W,14,30,10,W,S,
33,12:00,Y,W,14,30,10,W,S,
33,01:00,Y,W,14,30,10,W,S,
33,02:00,Y,W,14,30,10,W,S,
33,03:00,Y,W,14,30,10,W,S,
33,04:00,Y,W,14,30,10,W,S,
33,05:00,Y,W,14,30,10,W,S,
33,06:00,Y,W,14,30,10,W,S,
33,07:00,Y,W,14,30,10,W,S,
34,07:00,N,W,14,13.5,9,W,S,
34,08:00,N,W,14,13.5,9,W,S,
34,09:00,N,W,14,13.5,9,W,S,
34,10:00,N,W,14,22,9.5,W,S,
34,11:00,N,W,14,22,9.5,W,S,
34,12:00,N,W,14,22,9.5,W,S,
34,01:00,N,W,14,22,9.5,W,S,
34,02:00,N,W,14,22,9.5,W,S,
34,03:00,N,W,14,22,9.5,W,S,
34,04:00,N,W,14,22,9.5,W,S,
34,05:00,N,W,14,22,9.5,W,S,
34,06:00,N,W,14,22,9.5,W,S,
34,07:00,N,W,14,22,9.5,W,S,
35,07:00,Y,C,,,,,,
35,08:00,Y,C,,,,,,
35,09:00,Y,C,,,,,,
35,10:00,Y,C,,,,,,
35,11:00,Y,C,,,,,,
35,12:00,Y,C,,,,,,
35,01:00,Y,C,8,24,3,DGR,S,
35,02:00,Y,C,8,24,3,DGR,S,
35,03:00,Y,C,8,24,3,DGR,S,
35,04:00,Y,C,8,24,3,DGR,S,
35,05:00,Y,C,8,24,3,DGR,S,
35,06:00,Y,C,8,24.5,11,M,S,
35,07:00,Y,C,8,24.5,11,M,S,
36,07:00,N,C,,,,,,
36,08:00,N,C,1,32,10,w,s,
36,09:00,N,C,1,32,10,w,s,
36,10:00,N,C,5,32,3.5,m,s,
36,11:00,N,C,15,32,1,m,s,
36,12:00,N,C,15,32,1,m,s,
36,01:00,N,C,15,32,1,m,s,
36,02:00,N,C,15,32,1,m,s,
36,03:00,N,C,15,32,1,m,s,
36,04:00,N,C,15,32,1,m,s,
36,05:00,N,C,15,32,1,m,s,
36,06:00,N,C,15,32,1,m,s,
36,07:00,N,C,15,32,1,m,s,
37,07:00,Y,W,,,,,,
37,08:00,Y,W,,,,,,
37,09:00,Y,W,2,19,9,GR,S,
37,10:00,Y,W,2,19,9,GR,S,
37,11:00,Y,W,2,19,9,GR,S,
37,12:00,Y,W,2,19,9,GR,S,
37,01:00,Y,W,2,19,9,GR,S,
37,02:00,Y,W,,,,,,
37,03:00,Y,W,,,,,,
37,04:00,Y,W,,,,,,
37,05:00,Y,W,,,,,,
37,06:00,Y,W,,,,,,
37,07:00,Y,W,,,,,,
38,07:00,N,W,5,25,4,GR,S,
38,08:00,N,W,5,25,4,GR,S,
38,09:00,N,W,6,25,4,GR,S,
38,10:00,N,W,6,25,4,GR,S,
38,11:00,N,W,6,25,4,GR,S,
38,12:00,N,W,6,25,4,GR,S,
38,01:00,N,W,6,25,4,GR,S,
38,02:00,N,W,,,,,,
38,03:00,N,W,,,,,,
38,04:00,N,W,,,,,,
38,05:00,N,W,,,,,,
38,06:00,N,W,,,,,,
38,07:00,N,W,,,,,,
39,07:00,Y,C,8,25,2,GR,S,
39,08:00,Y,C,7.5,26,2,GR,S,
39,09:00,Y,C,7.5,26,2,GR,S,
39,10:00,Y,C,7.5,25,2,GR,S,
39,11:00,Y,C,7.5,25,2,GR,S,
39,12:00,Y,C,7.5,25,2,GR,S,
39,01:00,Y,C,7.5,25,2,GR,S,
39,02:00,Y,C,7.5,25,2,GR,S,
39,03:00,Y,C,9,23,2,GR,S,
39,04:00,Y,C,8.5,20,3,GR,S,
39,05:00,Y,C,7.5,22,0,M,S,
39,06:00,Y,C,7.5,22,0,M,S,
39,07:00,Y,C,7.5,22,0,M,S,
40,07:00,N,C,,,,,,
40,08:00,N,C,13.5,21.5,1,w,s,
40,09:00,N,C,13.5,21.5,1,w,s,
40,10:00,N,C,13.5,19.5,1,w,s,
40,11:00,N,C,13.5,20,1,w,s,
40,12:00,N,C,13.5,20,1,w,s,
40,01:00,N,C,13.5,20,1,w,s,
40,02:00,N,C,13.5,20,1,w,s,
40,03:00,N,C,13.5,20,1,w,s,
40,04:00,N,C,13.5,20,1,w,s,
40,05:00,N,C,13.5,20,1,w,s,
40,06:00,N,C,13.5,20,1,w,s,
40,07:00,N,C,13.5,20,1,w,s,
41,07:00,Y,W,,,,,,
41,08:00,Y,W,8.5,7,2,G,S,
41,09:00,Y,W,8.5,7,2,G,S,
41,10:00,Y,W,8,7.5,3,G,S,
41,11:00,Y,W,8,7.5,3,G,S,
41,12:00,Y,W,8,7.5,3,G,S,
41,01:00,Y,W,8,7.5,3,G,S,
41,02:00,Y,W,8,7.5,3,G,S,
41,03:00,Y,W,8,7.5,3,G,S,
41,04:00,Y,W,8,7.5,3,G,S,
41,05:00,Y,W,8,7.5,3,G,S,
41,06:00,Y,W,8,7.5,3,G,S,
41,07:00,Y,W,8,7.5,3,G,S,
42,07:00,N,W,15,31,3,M,S,
42,08:00,N,W,15,31,3,M,S,
42,09:00,N,W,15,31,3,M,S,
42,10:00,N,W,12,31,4,M,S,
42,11:00,N,W,12,31,4,M,S,
42,12:00,N,W,12,31,4,M,S,
42,01:00,N,W,12,31,5,M,S,
42,02:00,N,W,,,,,,
42,03:00,N,W,,,,,,
42,04:00,N,W,,,,,,
42,05:00,N,W,,,,,,
42,06:00,N,W,,,,,,
42,07:00,N,W,,,,,,
43,07:00,Y,C,,,,,,
43,08:00,Y,C,14,27,1,w,s,
43,09:00,Y,C,14,23,10,w,s,
43,10:00,Y,C,14,23,10,w,s,
43,11:00,Y,C,14,23,10,w,s,
43,12:00,Y,C,14,23,10,w,s,
43,01:00,Y,C,14,23,10,w,s,
43,02:00,Y,C,14,23,10,w,s,
43,03:00,Y,C,14,23,10,w,s,
43,04:00,Y,C,14,23,10,w,s,
43,05:00,Y,C,14,23,10,w,s,
43,06:00,Y,C,14,23,10,w,s,
43,07:00,Y,C,15,28,7,m,s,
44,07:00,N,C,,,,,,
44,08:00,N,C,8,29.5,5.5,clip,s,
44,09:00,N,C,8,29.5,5.5,clip,s,
44,10:00,N,C,8,29.5,5.5,clip,s,
44,11:00,N,C,8,29.5,5.5,clip,s,
44,12:00,N,C,8,29.5,5.5,clip,s,
44,01:00,N,C,8,29.5,5.5,clip,s,
44,02:00,N,C,8,29.5,5.5,clip,s,
44,03:00,N,C,8,29.5,5.5,clip,s,
44,04:00,N,C,8,29.5,5.5,clip,s,
44,05:00,N,C,8,29.5,5.5,clip,s,
44,06:00,N,C,8,29.5,5.5,clip,s,
44,07:00,N,C,8,29.5,5.5,clip,s,
