Block,Cage,Hour,Minute,Time,z,x,y,Perch,Beh,Disturbed,Observer,Notes,Animal
3,E,14,30,14.5,81,28,20,Cage,Sit,NA,Rob,NA,MEFE
3,A,15,0,15,35,32,13,Cage,Sit,NA,Rob,NA,MEFE
3,B,15,0,15,84,24,6,Mesh,Sit,NA,Rob,NA,MEFE
3,C,15,0,15,81,15,12,Cage,Sit,NA,Rob,NA,MEFE
3,D,15,0,15,37,16,6,GR,Sit,NA,Rob,NA,MEFE
3,E,15,0,15,86,7,9,Cage,Walk,NA,Rob,NA,MEFE
3,A,15,30,15.5,43,32,15,Cage,Sit,NA,Rob,NA,MEFE
3,B,15,30,15.5,84,9,8,Cage,Sit,NA,Rob,NA,MEFE
3,C,15,30,15.5,80,15,10,GR,Sit,NA,Rob,NA,MEFE
3,D,15,30,15.5,83,40,10,Cage,Sit,NA,Rob,NA,MEFE
3,E,15,30,15.5,80,23,3,Cage,Sit,NA,Rob,NA,MEFE
3,A,16,0,16,42,25,15,GR,Sit,NA,Rob,NA,MEFE
3,B,16,0,16,82,23,14,Cage,Sit,NA,Rob,NA,MEFE
3,C,16,0,16,81,17,12,GR,Walk,NA,Rob,NA,MEFE
3,D,16,0,16,85,15,3,Cage,Sit,NA,Rob,NA,MEFE
3,E,16,0,16,84,12,5,Cage,Walk,NA,Rob,NA,MEFE
3,A,16,30,16.5,57,27,19,Cage,Sit,NA,Rob,NA,MEFE
3,B,16,30,16.5,85,20,8,Cage,Sit,NA,Rob,NA,MEFE
3,C,16,30,16.5,80,16,14,Cage,Sit,NA,Rob,NA,MEFE
3,D,16,30,16.5,72,15,18,Cage,Sit,NA,Rob,NA,MEFE
3,E,16,30,16.5,83,18,5,Cage,Sit,NA,Rob,NA,MEFE
3,A,17,0,17,57,27,19,Cage,Sit,NA,Rob,NA,MEFE
3,B,17,0,17,84,28,5,Cage,Sit,NA,Rob,NA,MEFE
3,C,17,0,17,82,16,5,GR,Sit,NA,Rob,NA,MEFE
3,D,17,0,17,72,16,16,Cage,Sit,NA,Rob,NA,MEFE
3,E,17,0,17,83,30,5,Cage,Eat,NA,Rob,NA,MEFE
3,A,17,30,17.5,62,29,20,Mesh,Sit,NA,Rob,NA,MEFE
3,B,17,30,17.5,84,27,4,Cage,Sit,NA,Rob,NA,MEFE
3,C,17,30,17.5,84,18,8,Cage,Walk,NA,Rob,NA,MEFE
3,D,17,30,17.5,30,21,10,GR,Eat,NA,Rob,NA,MEFE
3,E,17,30,17.5,85,24,10,Cage,Sit,NA,Rob,NA,MEFE
3,A,18,0,18,69,32,13,Cage,Sit,NA,Rob,NA,MEFE
3,B,18,0,18,85,25,6,Cage,Sit,NA,Rob,NA,MEFE
3,C,18,0,18,82,14,4,Mesh,Sit,NA,Rob,NA,MEFE
3,D,18,0,18,39,21,8,GR,Walk,NA,Rob,NA,MEFE
3,E,18,0,18,84,24,15,GR,Eat,NA,Rob,NA,MEFE
3,A,18,30,18.5,58,25,16,GR,Sit,NA,Rob,NA,MEFE
3,B,18,30,18.5,85,28,7,Cage,Sit,NA,Rob,NA,MEFE
3,C,18,30,18.5,82,16,8,Cage,Sit,NA,Rob,NA,MEFE
3,D,18,30,18.5,42,22,8,GR,Sit,NA,Rob,NA,MEFE
3,E,18,30,18.5,83,24,5,Mesh,Sit,NA,Rob,NA,MEFE
3,A,19,0,19,61,21,19,Cage,Sit,NA,Rob,NA,MEFE
